custom/max_height,time/iterations,time/time_elapsed,custom/current_screen,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/loss,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/approx_kl
-158.0,1,60,0,1,7.625,64,5.825,,,,,,,,,,
-158.0,2,125,0,1,7.5625,128,2.1781250000000005,319.33673095703125,10,158.81808471679688,0.0,0.0003,-0.01840994190424681,-0.013435840606689453,0.2,-2.7719337940216064,0.002314072
-158.0,3,186,0,1,7.791666666666667,192,0.9833333333333337,986.7207641601562,20,491.562255859375,0.0,0.0003,-0.012387990113347768,-0.009135603904724121,0.2,-2.76899254322052,0.0017300956
-302.0,4,247,0,1,7.666666666666667,256,-1.378787878787879,1415.8553955078125,30,706.18017578125,0.0,0.0003,-0.008886148873716592,-0.004546523094177246,0.2,-2.7621424198150635,0.0012392951
-302.0,5,309,0,1,7.7317073170731705,320,-1.4085365853658536,1620.3887329101562,40,808.0584716796875,0.0,0.0003,-0.005160253494977951,0.0016826391220092773,0.2,-2.7596097946166993,0.00064009335
-158.0,6,374,0,1,7.6938775510204085,384,-0.23265306122448903,609.3723815917969,50,302.60040283203125,0.0,0.0003,-0.006159092579036951,0.0006177425384521484,0.2,-2.754530191421509,0.0006749267
-158.0,7,435,0,1,7.771929824561403,448,-0.3754385964912274,695.7050170898438,60,347.68963623046875,0.0,0.0003,-0.005703998869284988,-0.0008120536804199219,0.2,-2.750555658340454,0.0006701667
-302.0,8,500,0,1,7.846153846153846,512,-1.4115384615384612,474.6927185058594,70,237.00721740722656,0.0,0.0003,-0.013729188032448292,-0.0047876834869384766,0.2,-2.746761441230774,0.002859328
-14.0,9,562,0,1,7.890410958904109,576,0.16369863013698702,877.7495910644532,80,437.6059265136719,0.0,0.0003,-0.010930100688710809,0.0024288296699523926,0.2,-2.738744044303894,0.0023005959
-302.0,10,624,0,1,7.9375,640,-1.4249999999999994,2308.957373046875,90,1153.3194580078125,0.0,0.0003,-0.006008937209844589,0.0017397403717041016,0.2,-2.7348380088806152,0.0010767924
-158.0,11,691,0,1,7.887640449438202,704,-0.7825842696629208,1554.6710083007813,100,775.3699951171875,0.0,0.0003,-0.0007512833923101425,0.007515609264373779,0.2,-2.728515315055847,0.00031548552
-302.0,12,755,0,1,7.835051546391752,768,-1.427835051546392,1090.4294067382812,110,543.6353759765625,0.0,0.0003,-0.0040567670948803425,0.005872905254364014,0.2,-2.7272817134857177,0.00022858288
-302.0,13,818,0,1,7.99,832,-1.4650000000000005,1145.6525390625,120,572.107666015625,0.0,0.0003,-0.010063794627785682,0.002099156379699707,0.2,-2.729206109046936,0.0009900369
-158.0,14,880,0,1,8.02,896,-1.4524999999999997,552.8237365722656,130,276.0498962402344,0.0140625,0.0003,-0.026160167716443538,6.312131881713867e-05,0.2,-2.731701374053955,0.005658284
-302.0,15,945,0,1,7.8,960,-1.3174999999999997,516.0641784667969,140,256.43115234375,0.0,0.0003,-0.0005261684767901897,0.03240746259689331,0.2,-2.7272545337677,0.0020871675
-14.0,16,1013,0,1,7.58,1024,0.04699999999999946,2291.0408203125,150,1144.7471923828125,0.0,0.0003,-0.0052725888788700105,-0.005649089813232422,0.2,-2.72900447845459,0.000898527
-158.0,17,1079,0,1,7.63,1088,-0.5439999999999994,2620.739404296875,160,1306.90673828125,0.0,0.0003,-0.005960493721067906,0.008182942867279053,0.2,-2.7300961017608643,0.00040786993
-158.0,18,1144,0,1,7.74,1152,-1.15,1602.2920532226562,170,799.6820678710938,0.0,0.0003,-0.006692884396761656,0.014745473861694336,0.2,-2.7263431787490844,0.0005393978
-302.0,19,1213,0,1,7.73,1216,-1.761,754.3752990722656,180,376.746826171875,0.0,0.0003,-0.0032094667665660383,0.0037683844566345215,0.2,-2.7177193641662596,0.00033514202
-158.0,20,1276,0,1,7.77,1280,-0.6164999999999999,880.7851745605469,190,439.33837890625,0.0,0.0003,-0.006482304260134697,-0.000179290771484375,0.2,-2.7131405115127563,0.0004519187
-302.0,21,1340,0,1,7.69,1344,-1.756,53.56632614135742,200,26.70485496520996,0.0046875,0.0003,-0.014488835353404284,0.028272628784179688,0.2,-2.719514560699463,0.0014218064
-158.0,22,1409,0,0,7.61,1408,-0.6089999999999997,858.7626892089844,210,428.6580810546875,0.0,0.0003,-0.010434887744486332,0.025190889835357666,0.2,-2.713557720184326,0.0021369774
90.0,23,1474,1,0,7.43,1472,-0.9375000000000003,1349.6000122070313,220,673.2891845703125,0.0,0.0003,-0.0056473052129149435,0.027148127555847168,0.2,-2.7013063192367555,0.0011153948
-158.0,24,1540,0,0,7.5,1536,-0.7875,2272.953173828125,230,1135.408935546875,0.0,0.0003,-0.0047070994973182675,0.0042438507080078125,0.2,-2.7019979476928713,0.0004818784
-302.0,25,1603,0,0,7.54,1600,-1.9545000000000001,745.0830444335937,240,371.8611145019531,0.0,0.0003,-0.0057957295794039965,0.044667959213256836,0.2,-2.689860439300537,0.00033580512
-302.0,26,1669,0,0,7.62,1664,-1.4160000000000001,750.3681457519531,250,373.56903076171875,0.0,0.0003,-0.0015184295363724232,0.07064574956893921,0.2,-2.6960334539413453,0.00017864723
-302.0,27,1732,0,0,7.89,1728,-2.7205,933.192626953125,260,465.795166015625,0.0,0.0003,-0.011025038920342923,0.03303951025009155,0.2,-2.693501830101013,0.00075541995
-302.0,28,1796,0,0,7.93,1792,-2.7329999999999997,704.2308044433594,270,350.6401672363281,0.0,0.0003,-0.013944582547992468,0.024469614028930664,0.2,-2.6964271068573,0.0018109232
90.0,29,1863,1,0,7.98,1856,-0.6364999999999997,427.9560180664063,280,212.897705078125,0.0,0.0003,-0.003254731371998787,0.017343640327453613,0.2,-2.6984153747558595,0.0014585359
-158.0,30,1925,0,0,8.05,1920,-2.2095000000000002,1338.1368774414063,290,667.5772094726562,0.0,0.0003,-0.005947937816381454,0.03290468454360962,0.2,-2.6920082569122314,0.00037725642
-14.0,31,1991,0,0,7.87,1984,-1.6035000000000001,742.7306518554688,300,370.79254150390625,0.003125,0.0003,-0.011577524710446596,0.004460275173187256,0.2,-2.6703076362609863,0.0018122559
-158.0,32,2058,0,0,7.72,2048,-1.5785,1367.3752197265626,310,680.8989868164062,0.0,0.0003,-0.008749463874846698,0.035905301570892334,0.2,-2.6728373050689695,0.0014047129
