custom/max_height,rollout/ep_rew_mean,custom/current_screen,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/value_loss,train/entropy_loss,train/learning_rate,train/loss,train/n_updates,train/approx_kl,train/clip_range
-158.0,0.10600000000000012,0,1,512,3.71,512,0,,,,,,,,,,
-302.0,-0.7130000000000001,0,2,1038,3.78,1024,0,-0.031142414489295334,0.10234375,-0.006513833999633789,192.9102093696594,-2.767223447561264,0.0003,82.06305694580078,10,0.011771845,0.2
-302.0,-1.736,0,3,1574,3.8,1536,0,-0.031059582199668513,0.111328125,0.007515907287597656,142.2081169605255,-2.75441127717495,0.0003,64.62561798095703,20,0.011470797,0.2
-302.0,-0.7025,0,4,2111,3.56,2048,0,-0.02690621246874798,0.0947265625,0.020667076110839844,203.24399118423463,-2.7311791092157365,0.0003,73.0086898803711,30,0.0125607215,0.2
-158.0,-0.5874999999999997,0,5,2647,3.61,2560,0,-0.024706217739731074,0.0744140625,0.048342227935791016,216.1539116859436,-2.7003306210041047,0.0003,78.79862976074219,40,0.011698335,0.2
-302.0,-0.33850000000000025,0,6,3187,3.45,3072,0,-0.02749012195272371,0.07265625,0.05292785167694092,221.31963729858398,-2.6712458819150924,0.0003,122.02606201171875,50,0.011712596,0.2
-158.0,-0.17749999999999982,0,7,3731,3.49,3584,0,-0.027994855196448044,0.064453125,0.02481609582901001,335.29726085662844,-2.6306395083665848,0.0003,131.91969299316406,60,0.010344038,0.2
-158.0,-0.00899999999999988,0,8,4271,3.54,4096,0,-0.01911608437076211,0.0333984375,0.03756225109100342,312.4369108200073,-2.61694974899292,0.0003,161.03553771972656,70,0.009181923,0.2
-302.0,0.04050000000000022,0,9,4810,3.46,4608,0,-0.03292515266221017,0.1234375,0.0568772554397583,247.97996273040772,-2.5720548540353776,0.0003,122.78468322753906,80,0.014676038,0.2
-302.0,-0.13700000000000018,0,10,5342,3.55,5120,0,-0.021383312216494234,0.0328125,0.0514451265335083,303.96826057434083,-2.520904380083084,0.0003,187.89535522460938,90,0.008994062,0.2
-158.0,-0.35,0,11,5890,3.33,5632,0,-0.03409594168770127,0.11796875,0.030337512493133545,362.45457458496094,-2.4976421356201173,0.0003,184.3289031982422,100,0.01313787,0.2
-158.0,-1.2634999999999998,0,12,6438,3.52,6144,0,-0.027720488782506436,0.0802734375,0.06757599115371704,326.27041988372804,-2.449937918782234,0.0003,173.57757568359375,110,0.010923626,0.2
-158.0,0.308,0,13,6980,3.26,6656,0,-0.0247975402045995,0.0689453125,0.09021735191345215,267.0741844177246,-2.4126482993364333,0.0003,131.1056365966797,120,0.010112876,0.2
-14.0,1.1515,0,14,7518,3.4,7168,0,-0.022828006936470045,0.0779296875,0.0632162094116211,433.1988048553467,-2.3470642387866976,0.0003,205.08795166015625,130,0.011635685,0.2
-158.0,-0.4529999999999997,0,15,8054,3.32,7680,0,-0.025422798295039684,0.106640625,0.0953516960144043,314.055885887146,-2.348902130126953,0.0003,164.16769409179688,140,0.010699837,0.2
90.0,0.0985000000000002,1,16,8592,3.46,8192,0,-0.02897144844318973,0.0970703125,0.07324129343032837,330.7494155883789,-2.3605608850717545,0.0003,128.08619689941406,150,0.010546153,0.2
-158.0,-0.43250000000000016,0,17,9134,3.4,8704,0,-0.022949540172703564,0.057421875,0.05512440204620361,429.09026737213134,-2.322528877854347,0.0003,257.23724365234375,160,0.0100275595,0.2
-158.0,0.053999999999999986,0,18,9669,3.5,9216,0,-0.017845952918287368,0.03359375,0.0619472861289978,392.9317617416382,-2.303326132893562,0.0003,155.27581787109375,170,0.008242065,0.2
-158.0,0.4210000000000002,0,19,10188,3.4,9728,0,-0.02934212642721832,0.0720703125,0.09088742733001709,381.99408493041994,-2.2426384508609774,0.0003,146.8866729736328,180,0.011730553,0.2
-158.0,0.7780000000000007,0,20,10702,3.37,10240,0,-0.0335887297813315,0.1568359375,0.034359872341156006,360.9082384109497,-2.1145234227180483,0.0003,176.4555206298828,190,0.0145280715,0.2
-14.0,0.05550000000000022,0,21,11235,3.33,10752,0,-0.022641353926155718,0.0689453125,0.11377674341201782,369.20358791351316,-2.1239691257476805,0.0003,193.3939971923828,200,0.009797929,0.2
