time/time_elapsed,custom/max_height,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,custom/current_screen,time/fps,train/clip_range,train/entropy_loss,train/learning_rate,train/explained_variance,train/value_loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/loss
1176,5154.0,1024,-102.89152732999999,7.81,1,15,0,,,,,,,,,,
2248,5154.0,2048,-43.51673701,8.92,2,15,0,0.2,-0.8650740504264831,0.0001,-2.7298927307128906e-05,34508.92783203125,5,-0.020178583811502903,0.008654649,0.1224609375,15853.9140625
3362,5138.0,3072,-58.68519011,8.1,3,15,0,0.2,-0.8547389708459378,0.0001,0.0028529763221740723,31307.57224121094,10,-0.013193853572010994,0.007903943,0.0830078125,15956.0400390625
4516,5154.0,4096,-64.05439125999999,7.82,4,15,0,0.2,-0.8472257375717163,0.0001,0.00896453857421875,32215.60546875,15,-0.010983759467490018,0.0062210825,0.0595703125,16519.93359375
5600,5114.0,5120,-8.149633739999993,8.56,5,15,0,0.2,-0.8026499949395657,0.0001,0.01325368881225586,32969.42780761719,20,-0.009085526037961245,0.005106683,0.0294921875,14596.4375
6727,5154.0,6144,-33.31898594,8.15,6,15,0,0.2,-0.7813628062605857,0.0001,0.016669511795043945,32225.66862792969,25,-0.008474728022702039,0.004748213,0.0423828125,17260.466796875
7805,5154.0,7168,-8.641160359999994,9.02,7,15,0,0.2,-0.7778524197638035,0.0001,0.020001649856567383,32587.497998046874,30,-0.006868454755749554,0.004294882,0.03046875,17064.248046875
8891,5154.0,8192,-35.703073360000005,8.34,8,15,0,0.2,-0.781611030548811,0.0001,0.023724675178527832,29781.7822265625,35,-0.010425047599710524,0.0067166043,0.0376953125,15168.5478515625
9973,5114.0,9216,4.023139870000005,8.76,9,15,0,0.2,-0.7419814251363277,0.0001,0.020016610622406006,31208.857202148436,40,-0.008172059967182576,0.005554204,0.05078125,15222.513671875
11019,5250.0,10240,9.310353710000005,8.92,10,15,0,0.2,-0.7091799221932888,0.0001,0.025312960147857666,29865.011108398438,45,-0.010010409611277282,0.0065527577,0.042578125,15299.30859375
12077,5330.0,11264,55.91635181999999,9.26,11,15,0,0.2,-0.6823665209114551,0.0001,0.020900607109069824,29496.159326171874,50,-0.010830017342232167,0.005785783,0.040625,15190.4580078125
13162,5154.0,12288,32.61294321000001,8.45,12,15,0,0.2,-0.6633917778730393,0.0001,0.027029037475585938,27250.836499023437,55,-0.012268789217341692,0.0064589293,0.0451171875,14966.72265625
