time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,custom/max_height,custom/current_screen,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,train/entropy_loss
1,1024,-352.4619757586207,2,8714.0,25,474,34.793103448275865,,,,,,,,,,
2,2048,-363.39825927118636,2,8714.0,25,926,34.23728813559322,0.0001,12338.7646484375,31359.52312011719,0.0027270373,0.01015625,-0.0003186464309692383,5,0.2,-0.008501403988339007,-0.5368031609803439
3,3072,-381.9644144111111,2,8714.0,25,1389,33.98888888888889,0.0001,13702.2109375,27934.188110351562,0.0023995969,0.0109375,-0.002677440643310547,10,0.2,-0.005106832471210509,-0.5369540687650443
4,4096,-382.42491999999993,2,8714.0,25,1770,38.54,0.0001,12460.166015625,32482.23439941406,0.002101401,0.0080078125,-0.0026744604110717773,15,0.2,-0.007324365037493408,-0.5206270515918732
5,5120,-376.9639199999999,2,8714.0,25,2148,42.27,0.0001,5859.3671875,15438.090289306641,0.0012773513,0.0142578125,-0.0011823177337646484,20,0.2,-0.00016327465418726207,-0.5376821503043174
6,6144,-373.65587999999997,2,8730.0,25,2535,44.75,0.0001,7979.0888671875,13758.34301147461,0.0017624942,0.0091796875,-0.00032126903533935547,25,0.2,-0.0025543952418956906,-0.5665838677436114
7,7168,-368.88087999999993,2,8714.0,25,2932,49.28,0.0001,8779.890625,16377.63798828125,0.0020410297,0.025,-0.00036132335662841797,30,0.2,0.00019261950510554015,-0.5641429223120212
8,8192,-359.3428799999999,2,8714.0,25,3350,53.32,0.0001,11764.97265625,19752.859252929688,0.00223494,0.0201171875,-8.416175842285156e-05,35,0.2,-0.0036254655162338166,-0.5942992404103279
9,9216,-372.46096,2,8714.0,25,3763,53.14,0.0001,7811.4404296875,17626.725189208984,0.0030347682,0.0294921875,-0.000714421272277832,40,0.2,-0.005484456906560809,-0.6248112253844738
10,10240,-372.85992,2,8714.0,25,4173,51.8,0.0001,8735.970703125,21924.11572265625,0.003579358,0.018359375,-0.0001685619354248047,45,0.2,-0.002932294871425256,-0.6916309289634228
11,11264,-386.52795999999995,2,8714.0,25,4564,51.34,0.0001,8925.103515625,17914.22624511719,0.002749695,0.017578125,-9.226799011230469e-05,50,0.2,-0.003310986346332356,-0.706248638778925
12,12288,-382.46713948999997,2,8730.0,25,4916,54.3,0.0001,7864.0703125,16826.794494628906,0.005075334,0.015234375,-5.4001808166503906e-05,55,0.2,-0.01086383566725999,-0.6895125843584538
