time/fps,custom/max_height,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,custom/current_screen,time/time_elapsed,time/iterations,train/n_updates,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss
0,442.0,11.87,2048,2.3434852300000006,2,2166,1,,,,,,,,,,
0,650.0,12.13,4096,-7.633080290000001,2,4339,2,10,0.0,-0.9055167438462377,-5.936622619628906e-05,0.2,0.0,0.0001,3.6058190744370223e-08,403883.1995315552,4548.91455078125
0,442.0,11.8,6144,-11.127644500000004,2,6515,3,20,0.0,-0.9062393175438046,0.02332252264022827,0.2,0.0,0.0001,1.517546479590237e-08,10829.297567749023,4596.625
0,490.0,13.49,8192,17.70028605,2,8740,4,30,0.009779546,-0.8959097353741526,0.046968042850494385,0.2,0.1185546875,0.0001,-0.01747881013143342,11052.36619873047,5694.1630859375
0,538.0,12.87,10240,25.524205419999998,2,10977,5,40,0.007685545,-0.9351551754400134,0.06081730127334595,0.2,0.110498046875,0.0001,-0.01367430972022703,10174.909187316895,5061.396484375
0,650.0,13.14,12288,46.21484873,2,13301,6,50,0.0063051702,-0.911220551468432,0.0485309362411499,0.2,0.0775390625,0.0001,-0.013332082770648412,11577.230191040038,6112.08984375
0,442.0,12.66,14336,66.34753069,2,15592,7,60,0.00751545,-0.8951808029785753,0.05330377817153931,0.2,0.087939453125,0.0001,-0.013674054766306653,13036.166467285157,6759.4716796875
0,442.0,12.92,16384,99.27997679000002,2,17936,8,70,0.008462567,-0.8533687844872475,0.0362204909324646,0.2,0.108349609375,0.0001,-0.015508029647753574,12293.109442138672,6491.25732421875
0,442.0,12.38,18432,98.37313755999999,2,20252,9,80,0.010330854,-0.8519151175394655,0.034070611000061035,0.2,0.091259765625,0.0001,-0.013770412161829882,12211.54621887207,6016.03662109375
0,442.0,11.64,20480,150.45000278999998,2,22621,10,90,0.009492171,-0.8135303266346454,0.022219538688659668,0.2,0.102685546875,0.0001,-0.016929998688283376,12995.67160949707,5715.80517578125
0,490.0,11.7,22528,155.01557675,2,24987,11,100,0.0063996464,-0.7472760669887066,0.02316117286682129,0.2,0.07080078125,0.0001,-0.012831241366802715,12948.340710449218,6300.68896484375
0,650.0,10.53,24576,153.86711515999997,2,27364,12,110,0.007485144,-0.7258863851428032,0.020868778228759766,0.2,0.077392578125,0.0001,-0.01310871560999658,11754.164770507812,5660.3955078125
0,442.0,11.49,26624,197.36423408000002,2,29792,13,120,0.005042824,-0.6411452608183026,0.022501111030578613,0.2,0.05830078125,0.0001,-0.010510420876380521,11174.205313110351,4215.23486328125
0,442.0,10.76,28672,183.75076402,2,32220,14,130,0.006014224,-0.5969224473461509,0.039051055908203125,0.2,0.07392578125,0.0001,-0.014228523171914276,8874.005746459961,3589.48681640625
0,442.0,10.5,30720,189.42070470000002,2,34652,15,140,0.0063290885,-0.5615261359140277,0.02527254819869995,0.2,0.09150390625,0.0001,-0.014616003734408878,8663.50074005127,5158.75
0,442.0,9.99,32768,199.79455952,2,37105,16,150,0.006372248,-0.5009340448305011,0.007126271724700928,0.2,0.082861328125,0.0001,-0.01368698742298875,7461.30167388916,3853.18408203125
0,442.0,10.5,34816,218.91274894000006,2,39561,17,160,0.0048387293,-0.456595972366631,0.004042208194732666,0.2,0.0486328125,0.0001,-0.01049300514132483,6749.367452239991,2511.39111328125
0,442.0,10.17,36864,210.76555985,2,42026,18,170,0.004636693,-0.4645305180922151,0.011479556560516357,0.2,0.038134765625,0.0001,-0.009387480303848861,4727.94482421875,2303.634033203125
0,442.0,10.05,38912,210.78819612999996,2,44484,19,180,0.0077301185,-0.43689772170037033,0.004926443099975586,0.2,0.049169921875,0.0001,-0.00864177089970326,4650.163217163086,2061.76806640625
0,442.0,9.48,40960,214.89901145,2,46956,20,190,0.0069340947,-0.40548895662650464,0.013992786407470703,0.2,0.06748046875,0.0001,-0.008062607316242065,4043.4475330352784,2279.319091796875
0,442.0,9.76,43008,220.99267441,2,49463,21,200,0.008610934,-0.3519331014715135,0.04376727342605591,0.2,0.067626953125,0.0001,-0.00995680003616144,3691.68962059021,2375.19580078125
0,538.0,9.69,45056,234.06003045000006,2,51960,22,210,0.00793305,-0.3488087009638548,-0.03141331672668457,0.2,0.067724609375,0.0001,-0.008149416770174866,2736.312372779846,1715.2845458984375
0,442.0,9.47,47104,227.94209487000003,2,54449,23,220,0.008787972,-0.3608408344909549,0.044425010681152344,0.2,0.07724609375,0.0001,-0.0036156651309283915,2695.339668083191,292.22601318359375
0,442.0,9.73,49152,224.60689156999996,2,56922,24,230,0.008626495,-0.3356459434144199,-0.0056192874908447266,0.2,0.066357421875,0.0001,-0.0013881994498660788,1392.1995695114135,205.39617919921875
0,442.0,9.53,51200,161.52819226000003,2,59375,25,240,0.039418835,-0.32196554616093637,0.031139910221099854,0.2,0.110595703125,0.0001,-0.008567554445471614,2178.386718702316,1136.43701171875
0,538.0,9.53,53248,203.19451266000004,2,61872,26,250,0.005920731,-0.2896655222866684,0.011936545372009277,0.2,0.064404296875,0.0001,-0.01611518167774193,9525.31431427002,3656.612548828125
0,538.0,9.74,55296,225.05001442999998,2,64379,27,260,0.00631885,-0.2913513721432537,0.018235325813293457,0.2,0.036962890625,0.0001,-0.010916833074588794,6856.066268920898,1714.274169921875
0,442.0,9.51,57344,212.95017355000004,2,66888,28,270,0.042390905,-0.24855954716913403,0.030058085918426514,0.2,0.063232421875,0.0001,-0.005331322174606612,2154.5273834705354,434.653076171875
0,490.0,9.56,59392,227.39193433,2,69390,29,280,0.017925886,-0.25766274351626633,0.03635740280151367,0.2,0.06806640625,0.0001,-0.007260389644216048,2566.831050515175,919.57568359375
0,490.0,10.26,61440,234.31237145,2,71885,30,290,0.02527767,-0.2588719121180475,0.0716978907585144,0.2,0.07265625,0.0001,0.002475484337628586,1337.6103101968765,1408.5748291015625
0,442.0,9.69,63488,227.28391898,2,74392,31,300,0.02486702,-0.30065996474586426,0.09611237049102783,0.2,0.074951171875,0.0001,-0.0022697950305882843,1183.6739159822464,369.81195068359375
0,442.0,9.61,65536,238.30710699000002,2,76887,32,310,0.0042984392,-0.2468174124136567,0.088573157787323,0.2,0.065869140625,0.0001,-0.005069295203429647,1594.6366915106773,27.917695999145508
0,626.0,9.3,67584,231.08150624,2,79401,33,320,0.0075211385,-0.21053457572124898,0.00046962499618530273,0.2,0.04931640625,0.0001,-0.006715275115493568,615.341828840971,401.48486328125
0,650.0,9.81,69632,108.37620265,2,81872,34,330,0.006291166,-0.1816224444191903,0.2466089129447937,0.2,0.04521484375,0.0001,-0.004334109560295474,467.57219307720663,9.03579330444336
0,650.0,9.66,71680,162.12594120999998,2,84370,35,340,0.007880296,-0.2881270938087255,0.04096931219100952,0.2,0.082861328125,0.0001,-0.01048070348915644,22075.630117797853,8584.224609375
0,650.0,9.45,73728,219.41115,2,86893,36,350,0.014551114,-0.23457736652344466,-0.008939862251281738,0.2,0.04462890625,0.0001,-0.016037335133296436,11288.586152648926,5008.97314453125
0,442.0,9.43,75776,234.97356176000002,2,89408,37,360,0.0027397498,-0.20701892916113138,0.03961455821990967,0.2,0.022119140625,0.0001,-0.008441502330606454,4009.3236783981324,1756.2030029296875
