custom/max_height,time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,custom/current_screen,train/value_loss,train/loss,train/clip_range,train/learning_rate,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/approx_kl
522.0,2374,0,2048,1,25.94489343,13.75,2,,,,,,,,,,
490.0,4753,0,4096,2,27.984637720000002,13.33,2,10440.63910369873,4742.8544921875,0.2,0.0001,10,-0.799220553971827,0.002297520637512207,-6.764166755601764e-08,0.0,0.0
538.0,7161,0,6144,3,38.26301446,13.55,2,10812.64249267578,5717.1171875,0.2,0.0001,20,-0.7841978833079338,0.03514432907104492,-0.018448867477127352,0.167626953125,0.010252389
490.0,9632,0,8192,4,56.59809232,13.31,2,10728.903833007813,4607.62841796875,0.2,0.0001,30,-0.7562493046745657,0.04523247480392456,-0.017073451544274577,0.107958984375,0.011693297
442.0,12110,0,10240,5,97.43691543999999,14.41,2,12434.310171508789,6095.17333984375,0.2,0.0001,40,-0.7652483396232128,0.039820969104766846,-0.009982521296478808,0.083837890625,0.009438573
538.0,14623,0,12288,6,101.60903071000001,13.95,2,12014.659851074219,6162.60400390625,0.2,0.0001,50,-0.6971689464524389,0.039805591106414795,-0.015014320290356408,0.1201171875,0.009781149
522.0,17169,0,14336,7,134.27103819,12.3,2,12191.49301147461,6155.5966796875,0.2,0.0001,60,-0.6704951755702495,0.05203920602798462,-0.020743847271660343,0.1400390625,0.009766986
442.0,19714,0,16384,8,163.72647313000004,12.22,2,12702.880493164062,5623.224609375,0.2,0.0001,70,-0.640412551164627,0.055941998958587646,-0.012709290074417368,0.088134765625,0.007257797
442.0,22263,0,18432,9,170.47515160000003,12.1,2,12684.644207763671,6358.423828125,0.2,0.0001,80,-0.5980499415658415,0.03619825839996338,-0.012749897598405368,0.07666015625,0.007400807
538.0,24833,0,20480,10,184.90393399,11.23,2,11691.980035400391,5720.431640625,0.2,0.0001,90,-0.5813117861747742,0.02394843101501465,-0.015369807125534863,0.088232421875,0.012628575
538.0,27401,0,22528,11,210.95000556,10.72,2,10907.849053955078,5420.57958984375,0.2,0.0001,100,-0.5574876959435642,0.029867112636566162,-0.014420201405300759,0.07900390625,0.008338325
442.0,29973,0,24576,12,203.7794854,10.76,2,9953.685935974121,4741.435546875,0.2,0.0001,110,-0.5113686818629504,0.015368044376373291,-0.009822962046018801,0.06142578125,0.006651994
442.0,32558,0,26624,13,216.26611979999998,10.78,2,9395.220681762696,4077.72998046875,0.2,0.0001,120,-0.4962407577782869,0.014391005039215088,-0.01241906329523772,0.092333984375,0.0073086405
442.0,35129,0,28672,14,227.59549815999998,10.38,2,7972.775393676758,3282.8095703125,0.2,0.0001,130,-0.45700459768995644,0.00798797607421875,-0.011624135213787667,0.076171875,0.009695092
442.0,37728,0,30720,15,231.15906134,9.8,2,6964.869456481933,4010.015625,0.2,0.0001,140,-0.45050926627591253,0.004220187664031982,-0.011504856318060775,0.0890625,0.0075665386
538.0,40346,0,32768,16,218.82449211,10.06,2,5710.318755340576,2189.537109375,0.2,0.0001,150,-0.39753129007294774,0.0033368468284606934,-0.012281907363649225,0.090576171875,0.009123446
650.0,42973,0,34816,17,238.41833209000004,9.79,2,5047.145690155029,2557.3486328125,0.2,0.0001,160,-0.3664298249408603,0.0033910274505615234,-0.008768612318090164,0.068701171875,0.014906861
