custom/max_height,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,time/total_timesteps,custom/current_screen,train/loss,train/n_updates,train/value_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/learning_rate
13058.0,24.181524440000004,1697,1,1,13.99,2048,37,,,,,,,,,,
13058.0,0.6245700000000053,3480,2,1,15.14,4096,37,14135.435546875,462,30837.14066772461,0.0607421875,0.008520041,0.2,-0.010374566321843304,-0.8908014688640833,0.016610682010650635,0.0001
13282.0,-56.49815121999999,5254,3,1,14.11,6144,37,16611.423828125,467,30907.936083984376,0.019921875,0.0033099744,0.2,-0.00651114716893062,-0.8927450910210609,0.021303951740264893,0.0001
13026.0,-8.444919889999998,6936,4,1,14.72,8192,37,13389.248046875,472,28861.569122314453,0.0037109375,0.0029240358,0.2,-0.005879490618826822,-0.8362954217940569,0.023890316486358643,0.0001
13202.0,-5.762494689999996,8713,5,1,14.07,10240,37,11780.86328125,477,32043.52626953125,0.00283203125,0.0012515691,0.2,-0.002635686256689951,-0.8202496517449618,0.026240944862365723,0.0001
13058.0,19.931965239999997,10410,6,1,15.83,12288,37,13278.568359375,482,35411.12344970703,0.002734375,0.0007245238,0.2,-0.001818449643906206,-0.7893681835383177,0.014689981937408447,0.0001
13058.0,28.54752393,12205,7,1,14.25,14336,37,18854.064453125,487,37137.7974609375,0.00439453125,0.0010131455,0.2,-0.0017676087518339045,-0.8235531471669674,0.012864530086517334,0.0001
13058.0,51.99909934,13834,8,1,16.39,16384,37,16554.505859375,492,35726.86883544922,0.0076171875,0.0031797118,0.2,-0.0037513031042180956,-0.8364392556250095,0.019805729389190674,0.0001
13058.0,0.4286729700000014,15505,9,1,15.08,18432,37,17049.84765625,497,34763.99681396484,0.0044921875,0.0024568418,0.2,-0.004625636441051029,-0.8351388171315193,0.02055513858795166,0.0001
13058.0,77.22725057000001,17151,10,1,15.65,20480,37,14219.8388671875,502,36088.992150878905,0.00439453125,0.0006399492,0.2,-0.0022476991929579527,-0.812684765085578,0.011822164058685303,0.0001
13258.0,2.8796937299999983,18924,11,1,15.52,22528,37,24367.748046875,507,37713.33212890625,0.00126953125,0.0005760208,0.2,-0.0011977570276940242,-0.8352241545915604,0.029829740524291992,0.0001
13258.0,28.430930769999996,20606,12,1,14.85,24576,37,19969.0234375,512,39556.731506347656,0.00048828125,0.00040400567,0.2,-0.0013847444963175804,-0.8364850044250488,0.026794612407684326,0.0001
13258.0,58.44375448000002,22268,13,1,16.28,26624,37,19212.052734375,517,37613.10577392578,0.00439453125,0.0015496924,0.2,-0.0036083264712942764,-0.8216436386108399,0.027254700660705566,0.0001
13058.0,18.58400156,23957,14,1,14.73,28672,37,17638.486328125,522,35175.01773681641,0.002734375,0.0010959808,0.2,-0.0026035673974547533,-0.8064208254218102,0.02766329050064087,0.0001
13026.0,56.156769379999986,25569,15,1,16.38,30720,37,17188.306640625,527,34565.13371582031,0.00185546875,0.00075416325,0.2,-0.002707810822175816,-0.7936042103916406,0.04327458143234253,0.0001
13258.0,39.512406199999994,27302,16,1,14.37,32768,37,18697.537109375,532,40160.878125,0.0021484375,0.0009633769,0.2,-0.002031752391485497,-0.8139192465692758,0.03377658128738403,0.0001
13058.0,100.17154460000002,29001,17,1,16.21,34816,37,18051.154296875,537,38142.982177734375,0.00263671875,0.0009718733,0.2,-0.0023914787656394766,-0.7749366831034422,0.0316852331161499,0.0001
13058.0,58.5998771,30680,18,1,14.34,36864,37,18369.140625,542,36276.09783935547,0.00263671875,0.00089048035,0.2,-0.0019140136893838644,-0.7946272704750299,0.03640037775039673,0.0001
13026.0,63.74361069999999,32359,19,1,16.21,38912,37,17045.650390625,547,35656.28073730469,0.00126953125,0.000380886,0.2,-0.0007760012114886195,-0.7815001592040062,0.03234142065048218,0.0001
13026.0,83.59503606000003,33951,20,1,15.25,40960,37,14899.875,552,35510.25783691406,0.002734375,0.00057135307,0.2,-0.001722367011825554,-0.8028638523072005,0.05141395330429077,0.0001
