time/time_elapsed,time/fps,custom/max_height,custom/current_screen,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/entropy_loss,train/loss,train/n_updates,train/value_loss,train/explained_variance,train/clip_range,train/clip_fraction
939,1,14082.0,40,1024,5.222570949999994,1,7.93,,,,,,,,,,
1862,1,14306.0,40,2048,80.21429141,2,8.62,-0.009940437860786916,0.019501321,0.0001,-0.7910720038414002,14445.5771484375,2,27874.139921875,-8.726119995117188e-05,0.2,0.124375
2780,1,14178.0,40,3072,125.23955371999999,3,8.27,-0.007921477605123073,0.0074615544,0.0001,-0.7707256391644478,13418.45703125,7,27706.251513671876,0.0006790757179260254,0.2,0.047265625
3774,1,14082.0,40,4096,119.02032974999999,4,9.31,-0.010924737725872546,0.013465306,0.0001,-0.7487950444221496,13013.3037109375,12,27105.074487304686,-0.0004812479019165039,0.2,0.074609375
4681,1,14178.0,40,5120,133.00423933000002,5,9.0,-0.012190409132745116,0.009409612,0.0001,-0.7663245797157288,13766.21484375,17,26121.202685546876,-0.0003610849380493164,0.2,0.06796875
5555,1,14082.0,40,6144,143.21546178000003,6,9.56,-0.004369150538695976,0.00867,0.0001,-0.740845637023449,13723.9931640625,22,27162.870361328125,-7.390975952148438e-05,0.2,0.04296875
6470,1,14082.0,40,7168,133.86863859,7,8.78,-0.004916968278121203,0.006930878,0.0001,-0.7513287149369716,12937.8583984375,27,24841.387060546876,-5.888938903808594e-05,0.2,0.0724609375
7404,1,14306.0,40,8192,127.03377253000002,8,8.38,-0.0119143994175829,0.011964695,0.0001,-0.7604094296693802,12708.498046875,32,25618.797021484374,-3.6716461181640625e-05,0.2,0.146484375
8362,1,14082.0,40,9216,136.27761188,9,8.38,-0.007027630542870611,0.007299739,0.0001,-0.7470987625420094,13990.7275390625,37,26386.984521484374,-3.230571746826172e-05,0.2,0.0291015625
9341,1,14082.0,40,10240,122.75960083,10,7.97,-0.002902943082153797,0.007745156,0.0001,-0.7017553098499775,12514.791015625,42,25579.142016601563,-1.823902130126953e-05,0.2,0.0416015625
10279,1,14082.0,40,11264,176.11500556000001,11,8.17,-0.0070950937806628644,0.005817893,0.0001,-0.6970299661159516,11724.50390625,47,26192.117895507814,-1.3470649719238281e-05,0.2,0.0326171875
11216,1,14082.0,40,12288,179.80302168999998,12,8.89,-0.004817119112703949,0.0048936033,0.0001,-0.6657639354467392,12753.5537109375,52,24753.97900390625,-2.110004425048828e-05,0.2,0.0314453125
12175,1,14082.0,40,13312,167.50432560000002,13,8.39,-0.0015426001627929509,0.0039010975,0.0001,-0.6931553184986115,10819.5361328125,57,23141.25212402344,-2.2411346435546875e-05,0.2,0.0361328125
13120,1,14082.0,40,14336,155.44723267,14,8.4,-0.00293753722216934,0.0029484131,0.0001,-0.6595911487936974,11388.763671875,62,23596.95671386719,-1.800060272216797e-05,0.2,0.0421875
14120,1,14178.0,40,15360,119.93513657000001,15,8.23,-0.0028124216827563942,0.007550252,0.0001,-0.6834685660898685,11334.91015625,67,22696.09909667969,-1.4781951904296875e-05,0.2,0.0427734375
15102,1,14178.0,40,16384,150.05781525,16,7.95,-0.0019756427151151,0.0044398494,0.0001,-0.6995440058410167,12169.013671875,72,25734.681787109374,-1.1801719665527344e-05,0.2,0.058984375
