rollout/ep_rew_mean,custom/current_screen,rollout/ep_len_mean,time/time_elapsed,custom/max_height,time/iterations,time/total_timesteps,time/fps,train/entropy_loss,train/clip_range,train/approx_kl,train/n_updates,train/loss,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/clip_fraction
24.46980501000001,7,15.12,1595,2482.0,1,2048,1,,,,,,,,,,
23.87628848,7,15.23,3201,2402.0,2,4096,1,-0.7545474544167519,0.2,0.00940256,1,15992.10546875,32457.332275390625,-0.000171661376953125,0.011946963844820857,0.0001,0.021484375
12.375012229999992,7,15.31,4800,2402.0,3,6144,1,-0.740353199839592,0.2,0.004981269,2,12810.30859375,32332.7884765625,0.0003578662872314453,0.00015285429544746875,0.0001,0.01875
1.2363996500000054,7,15.84,6337,2202.0,4,8192,1,-0.7479167893284657,0.2,0.011821342,4,16906.794921875,31786.801165471312,0.0015496015548706055,0.001446759755738446,0.0001,0.01869877049180328
21.340802599999996,7,16.87,7855,2202.0,5,10240,1,-0.848841939653669,0.2,0.007396388,5,19082.697265625,31006.647042410714,0.0045233964920043945,0.000941820265281768,0.0001,0.036458333333333336
8.112356910000006,7,16.52,9397,2306.0,6,12288,1,-0.8682555465374963,0.2,0.010943423,7,17016.5234375,30577.713552701272,0.004213571548461914,-0.0021978945518701764,0.0001,0.031514830508474576
97.38263036000002,7,19.1,10863,2306.0,7,14336,1,-0.8924482310755869,0.2,0.01198193,10,16416.591796875,30231.437851123595,0.007670462131500244,0.00021488646442970532,0.0001,0.04073033707865169
0.47217797999999733,7,15.68,12411,2402.0,8,16384,1,-0.925880592676901,0.2,0.015119565,14,12446.8310546875,29996.722939768144,0.011254370212554932,-0.0011122481176449406,0.0001,0.06602822580645161
-0.12258317000000318,7,15.18,13930,2202.0,9,18432,1,-0.9932026758934688,0.2,0.013195114,18,12667.166015625,28686.659435679612,0.004672586917877197,-0.002379617762290737,0.0001,0.03898665048543689
22.636187809999992,7,14.44,15407,2202.0,10,20480,1,-1.0263074501505438,0.2,0.005458183,20,13646.08203125,28315.661114386792,0.01717245578765869,-0.0016372233172351459,0.0001,0.02741745283018868
29.27918794,7,16.24,16907,2402.0,11,22528,1,-0.9948676282709296,0.2,0.0045356844,21,10098.3466796875,26228.305308948864,0.022669732570648193,-0.0015335419130596247,0.0001,0.022727272727272728
80.37712886999999,7,19.19,18360,2306.0,12,24576,1,-0.9864844564687122,0.2,0.011746842,24,12706.4580078125,26953.350719105114,0.02343928813934326,-0.002914446310817518,0.0001,0.03799715909090909
44.502799679999995,7,17.15,19893,2402.0,13,26624,1,-0.9532602429389954,0.2,0.008970555,28,16774.51171875,27856.14259672619,0.028581738471984863,-0.0021660475415133293,0.0001,0.02351190476190476
65.59819381000001,7,19.28,21333,2306.0,14,28672,1,-0.9627354055643081,0.2,0.004953622,33,15033.1025390625,29168.77606201172,0.02441716194152832,-0.0019791889848420397,0.0001,0.0283203125
31.252088479999998,7,18.71,22803,2306.0,15,30720,1,-0.9728133749216795,0.2,0.0046522,38,12989.783203125,27960.8681640625,0.04369091987609863,-0.00231361526530236,0.0001,0.02138671875
48.77332829,7,17.57,24278,2306.0,16,32768,1,-0.9957541021433743,0.2,0.008901722,40,15136.357421875,28616.689311079546,0.05005311965942383,-0.002129755321551453,0.0001,0.020170454545454547
41.883020750000014,7,18.48,25724,2202.0,17,34816,1,-0.9806569524109363,0.2,0.0050625782,45,14823.1640625,27087.752355957033,0.05991673469543457,-0.0014195278869010507,0.0001,0.021875
98.09951201,7,19.09,27213,2306.0,18,36864,1,-0.9566770005971194,0.2,0.003683969,50,12248.232421875,27309.81541748047,0.07168489694595337,-0.0006460772536229342,0.0001,0.02060546875
120.54289667999997,7,19.62,28666,2402.0,19,38912,1,-0.9189187221312791,0.2,0.0069940863,53,13447.1025390625,28673.102374473314,0.08020490407943726,-0.0006168271059149437,0.0001,0.018609550561797753
128.63543911,7,21.19,30082,2402.0,20,40960,1,-0.9098090514540672,0.2,0.004457493,58,16759.748046875,29323.662536621094,0.08248502016067505,-0.0009851445385720581,0.0001,0.02275390625
88.39647817999999,7,19.88,31529,2306.0,21,43008,1,-0.9170177714163515,0.2,0.0035259598,62,11670.3876953125,27655.531775210085,0.08220982551574707,0.0009149163726623319,0.0001,0.010635504201680673
122.12463317999999,7,20.41,32966,2306.0,22,45056,1,-0.9348320905552354,0.2,0.006727316,64,13407.423828125,28001.150981104653,0.08277034759521484,0.0003654937866295493,0.0001,0.012718023255813954
107.34340535999999,7,20.16,34393,2306.0,23,47104,1,-0.9219384180462878,0.2,0.009681204,69,13545.58984375,27980.329370471016,0.0989791750907898,-0.0012505076862736673,0.0001,0.03136322463768116
89.39631874000001,7,19.32,35829,2402.0,24,49152,1,-0.9355866449910242,0.2,0.018264035,72,12036.1259765625,27396.966612119933,0.10091328620910645,8.203648660029914e-05,0.0001,0.02364864864864865
118.44746272999998,7,19.68,37296,2402.0,25,51200,1,-0.9419171500951051,0.2,0.0060843797,77,13017.1962890625,26637.516711425782,0.10410463809967041,-0.0042663397878641264,0.0001,0.0259765625
129.10048503000002,7,21.17,38715,2306.0,26,53248,1,-0.9067476611584425,0.2,0.0038699568,82,14826.740234375,28064.031372070312,0.10710549354553223,-0.003254701613332145,0.0001,0.01650390625
